City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,codrington,-38.2667,141.9667,289.68,65,90,6.6,AU,1707082217
327,angaur state,6.906,134.13,300.73,83,89,8.19,PW,1707082217
328,luderitz,-26.6481,15.1594,291.91,86,4,2.92,NA,1707082217
329,bukama,-9.2,25.85,294.77,97,100,0.95,CD,1707082218
330,monte alegre,-2.0078,-54.0692,302.34,59,59,1.93,BR,1707082218
331,nova sintra,14.8667,-24.7167,294.37,70,0,4.5,CV,1707082218
332,fort st. john,56.2499,-120.8529,272.09,47,20,1.54,CA,1707082219
333,yaren,-0.5472,166.916,302.26,76,99,6.78,NR,1707081919
334,darwin,-12.4611,130.8418,301.14,85,20,4.63,AU,1707081940
335,nefteyugansk,61.0998,72.6035,257.34,96,100,3.32,RU,1707082219
336,tangalle,6.024,80.7911,297.24,88,94,4.63,LK,1707082220
337,cestos city,5.46,-9.5828,300.44,86,77,3.05,LR,1707082220
338,smirnykh,49.75,142.8333,251.5,95,5,2.71,RU,1707082221
339,melekeok village,7.4957,134.6367,300.67,79,100,7.39,PW,1707082221
340,bamboo flat,11.7,92.7167,299.2,78,36,1.03,IN,1707082222
341,kavaratti,10.5669,72.642,300.76,72,30,5.03,IN,1707082222
342,chonchi,-42.6128,-73.8092,299.71,41,1,1.77,CL,1707082223
343,gaya,24.7833,85.0,288.1,67,75,1.54,IN,1707082224
344,punta del este,-34.9667,-54.95,295.21,66,40,7.72,UY,1707082026
345,kapuskasing,49.4169,-82.4331,279.2,60,20,2.57,CA,1707082050
346,smidovich,48.6,133.8167,241.26,100,66,0.65,RU,1707082224
347,nuuk,64.1835,-51.7216,262.49,62,100,6.17,GL,1707082225
348,grand falls-windsor,48.9332,-55.6649,273.43,94,100,4.02,CA,1707082225
349,chivhu,-19.0211,30.8922,289.89,75,54,2.51,ZW,1707082226
350,ushtobe,45.2514,77.9838,266.79,83,98,1.68,KZ,1707082226
351,dhuusamarreeb,5.535,46.3861,295.63,76,89,7.0,SO,1707082226
352,hithadhoo,-0.6,73.0833,301.31,78,59,6.02,MV,1707082227
353,ormara,25.2088,64.6357,294.92,61,5,4.74,PK,1707082227
354,kulhudhuffushi,6.6221,73.07,300.45,78,55,4.23,MV,1707082228
355,khandyga,62.6667,135.6,228.96,100,71,0.72,RU,1707082228
356,oriximina,-1.7656,-55.8661,302.14,66,87,2.0,BR,1707082229
357,dapaong,10.8639,0.205,299.32,14,93,3.93,TG,1707082229
358,santana,-0.0583,-51.1817,304.25,70,20,4.63,BR,1707082229
359,birecik,37.0294,37.9903,279.71,93,100,1.6,TR,1707082230
360,usogorsk,63.4106,48.6872,257.96,95,100,3.84,RU,1707082231
361,trairi,-3.2778,-39.2689,300.88,75,68,5.62,BR,1707082172
362,crane,31.3974,-102.3501,290.31,13,0,12.0,US,1707082232
